"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-09-02_07-15-01","51.0","25.0","22.0","4.0","13","1"
"192_168_4_5-2020-09-27_07-30-01","5.0","3.0","1.0","1.0","13","1"
"192_168_4_5-2020-09-04_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-02_20-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-12_15-45-01","1063.0","426.0","548.0","89.0","13","5"
"192_168_4_5-2020-09-03_22-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-23_19-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-18_12-15-01","905.0","402.0","426.0","77.0","13","5"
"192_168_4_5-2020-09-25_22-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-12_13-30-01","1176.0","497.0","508.0","171.0","25","9"
"192_168_4_5-2020-09-02_15-00-01","1695.0","700.0","743.0","252.0","21","3"
"192_168_4_5-2020-08-30_12-30-01","1336.0","493.0","521.0","322.0","21","3"
"192_168_4_5-2020-09-13_13-30-01","579.0","266.0","271.0","42.0","23","1"
"192_168_4_5-2020-09-28_09-15-01","69.0","27.0","28.0","14.0","13","1"
"192_168_4_5-2020-09-08_20-00-02","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-24_21-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-27_18-45-01","45.0","10.0","11.0","24.0","13","1"
"192_168_4_5-2020-09-01_16-00-01","398.0","182.0","211.0","5.0","21","1"
"192_168_4_5-2020-09-25_19-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-09_15-15-01","2991.0","1229.0","1484.0","278.0","25","15"
"192_168_4_5-2020-09-09_08-45-01","115.0","49.0","46.0","20.0","13","1"
"192_168_4_5-2020-09-25_10-45-01","799.0","343.0","318.0","138.0","21","3"
"192_168_4_5-2020-09-12_15-15-01","680.0","292.0","352.0","36.0","23","3"
"192_168_4_5-2020-09-28_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-24_20-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-17_11-00-01","149.0","74.0","69.0","6.0","13","1"
"192_168_4_5-2020-09-19_13-30-01","519.0","209.0","238.0","72.0","27","7"
"192_168_4_5-2020-09-06_21-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-09-25_19-00-01","31.0","11.0","15.0","5.0","13","1"
"192_168_4_5-2020-09-13_21-15-01","0.0","0.0","0.0","0.0","13","1"
