"VIDEO","TOTAL_COUNT","UPWARD","DOWNWARD","LATERAL","WINDOW","OVERLAP"
"192_168_4_5-2020-07-05_17-15-01","3611.0","1660.0","1572.0","379.0","27","13"
"192_168_4_5-2020-07-09_10-15-01","143.0","56.0","75.0","12.0","23","3"
"192_168_4_5-2020-07-08_08-45-01","617.0","224.0","270.0","123.0","21","5"
"192_168_4_5-2020-06-29_20-30-01","88.0","33.0","44.0","11.0","13","1"
"192_168_4_5-2020-07-18_13-15-01","1072.0","385.0","363.0","324.0","25","3"
"192_168_4_5-2020-07-03_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-15_20-15-01","1070.0","350.0","501.0","219.0","25","1"
"192_168_4_5-2020-06-28_18-45-02","279.0","83.0","79.0","117.0","13","1"
"192_168_4_5-2020-06-23_13-15-01","904.0","327.0","375.0","202.0","25","1"
"192_168_4_5-2020-06-24_19-15-01","6347.0","2403.0","2771.0","1173.0","25","17"
"192_168_4_5-2020-06-23_09-45-01","728.0","306.0","318.0","104.0","25","3"
"192_168_4_5-2020-07-02_08-45-01","470.0","188.0","180.0","102.0","25","3"
"192_168_4_5-2020-06-25_17-15-01","828.0","279.0","378.0","171.0","27","1"
"192_168_4_5-2020-06-27_10-45-01","1159.0","448.0","500.0","211.0","21","5"
"192_168_4_5-2020-06-28_08-00-02","1357.0","550.0","551.0","256.0","17","3"
"192_168_4_5-2020-07-10_11-30-01","1059.0","406.0","498.0","155.0","23","1"
"192_168_4_5-2020-06-24_12-45-01","759.0","344.0","330.0","85.0","21","1"
"192_168_4_5-2020-07-04_17-30-01","1517.0","515.0","767.0","235.0","25","11"
"192_168_4_5-2020-07-13_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-01_15-00-01","809.0","328.0","375.0","106.0","25","5"
"192_168_4_5-2020-06-27_20-45-01","185.0","64.0","97.0","24.0","13","1"
"192_168_4_5-2020-06-28_19-15-01","288.0","86.0","86.0","116.0","13","3"
"192_168_4_5-2020-07-02_20-30-01","669.0","257.0","292.0","120.0","23","1"
"192_168_4_5-2020-07-15_09-00-01","800.0","384.0","360.0","56.0","21","3"
"192_168_4_5-2020-07-11_07-45-01","922.0","360.0","419.0","143.0","17","5"
"192_168_4_5-2020-07-13_12-15-01","1673.0","728.0","677.0","268.0","27","11"
"192_168_4_5-2020-06-27_15-00-01","996.0","369.0","382.0","245.0","27","5"
"192_168_4_5-2020-07-01_16-15-01","1144.0","511.0","504.0","129.0","27","5"
"192_168_4_5-2020-07-11_12-15-01","765.0","342.0","364.0","59.0","23","3"
"192_168_4_5-2020-06-22_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-09_20-15-01","1511.0","355.0","815.0","341.0","25","7"
"192_168_4_5-2020-07-01_08-45-01","1046.0","440.0","381.0","225.0","21","3"
"192_168_4_5-2020-07-12_16-30-01","1388.0","510.0","625.0","253.0","27","9"
"192_168_4_5-2020-06-22_15-00-01","2272.0","858.0","930.0","484.0","25","9"
"192_168_4_5-2020-07-05_13-30-01","1403.0","621.0","642.0","140.0","25","7"
"192_168_4_5-2020-07-14_15-30-01","1228.0","515.0","583.0","130.0","27","3"
"192_168_4_5-2020-07-11_08-15-01","1148.0","448.0","532.0","168.0","21","5"
"192_168_4_5-2020-07-06_13-45-01","965.0","372.0","420.0","173.0","25","7"
"192_168_4_5-2020-07-06_21-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-12_09-30-01","1053.0","441.0","521.0","91.0","21","5"
"192_168_4_5-2020-07-14_07-45-01","329.0","132.0","142.0","55.0","17","3"
"192_168_4_5-2020-07-08_09-30-01","189.0","51.0","118.0","20.0","23","1"
"192_168_4_5-2020-06-27_19-30-01","949.0","384.0","392.0","173.0","27","1"
"192_168_4_5-2020-07-10_14-00-01","2271.0","954.0","980.0","337.0","25","9"
"192_168_4_5-2020-07-11_20-00-01","1111.0","317.0","532.0","262.0","25","3"
"192_168_4_5-2020-06-30_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-23_15-45-01","2223.0","925.0","963.0","335.0","27","11"
"192_168_4_5-2020-06-28_19-45-01","1.0","0.0","0.0","1.0","13","1"
"192_168_4_5-2020-07-16_09-45-01","469.0","139.0","282.0","48.0","21","3"
"192_168_4_5-2020-07-05_07-45-01","990.0","308.0","491.0","191.0","21","5"
"192_168_4_5-2020-07-15_12-45-01","1506.0","656.0","718.0","132.0","25","7"
"192_168_4_5-2020-07-11_12-00-01","936.0","373.0","419.0","144.0","25","7"
"192_168_4_5-2020-07-02_10-15-01","909.0","328.0","367.0","214.0","21","5"
"192_168_4_5-2020-06-29_15-30-01","1514.0","620.0","689.0","205.0","27","11"
"192_168_4_5-2020-07-04_08-30-01","754.0","227.0","275.0","252.0","25","5"
"192_168_4_5-2020-07-10_21-00-01","1409.0","584.0","641.0","184.0","15","1"
"192_168_4_5-2020-07-01_08-15-01","293.0","127.0","118.0","48.0","19","1"
"192_168_4_5-2020-07-04_12-45-02","2354.0","1036.0","1071.0","247.0","25","11"
"192_168_4_5-2020-07-08_20-30-01","497.0","101.0","278.0","118.0","23","3"
"192_168_4_5-2020-06-27_19-15-01","4494.0","1629.0","1787.0","1078.0","25","15"
"192_168_4_5-2020-07-04_07-15-01","574.0","222.0","267.0","85.0","21","5"
"192_168_4_5-2020-07-13_23-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-02_19-00-02","755.0","255.0","388.0","112.0","27","1"
"192_168_4_5-2020-07-14_10-00-01","368.0","133.0","150.0","85.0","23","1"
"192_168_4_5-2020-07-10_08-45-01","157.0","54.0","89.0","14.0","23","1"
"192_168_4_5-2020-06-22_12-15-01","947.0","398.0","414.0","135.0","23","1"
"192_168_4_5-2020-07-07_09-00-01","1035.0","411.0","466.0","158.0","25","1"
"192_168_4_5-2020-06-24_11-00-01","1308.0","524.0","550.0","234.0","21","3"
"192_168_4_5-2020-06-22_19-00-01","931.0","341.0","368.0","222.0","27","1"
"192_168_4_5-2020-06-27_17-30-01","2334.0","795.0","914.0","625.0","25","11"
"192_168_4_5-2020-07-03_07-30-01","494.0","201.0","183.0","110.0","21","5"
"192_168_4_5-2020-07-12_18-30-01","1004.0","345.0","421.0","238.0","27","7"
"192_168_4_5-2020-06-27_09-45-02","844.0","363.0","377.0","104.0","23","1"
"192_168_4_5-2020-07-15_13-15-01","1398.0","553.0","591.0","254.0","25","3"
"192_168_4_5-2020-07-04_16-15-01","1654.0","692.0","724.0","238.0","25","11"
"192_168_4_5-2020-07-18_11-00-01","1173.0","374.0","455.0","344.0","25","1"
"192_168_4_5-2020-07-02_15-45-01","3323.0","1495.0","1562.0","266.0","27","13"
"192_168_4_5-2020-07-04_14-15-01","1298.0","562.0","609.0","127.0","25","5"
"192_168_4_5-2020-07-11_23-15-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-06_18-45-01","2582.0","988.0","1180.0","414.0","27","11"
"192_168_4_5-2020-06-29_07-15-02","19.0","8.0","11.0","0.0","13","1"
"192_168_4_5-2020-07-09_22-00-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-29_17-30-01","729.0","289.0","313.0","127.0","15","3"
"192_168_4_5-2020-07-11_12-30-01","1416.0","630.0","636.0","150.0","23","1"
"192_168_4_5-2020-07-10_14-30-01","1093.0","464.0","489.0","140.0","25","7"
"192_168_4_5-2020-06-27_23-45-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-07-09_09-00-02","906.0","360.0","391.0","155.0","21","3"
"192_168_4_5-2020-07-04_13-00-01","2258.0","965.0","955.0","338.0","27","11"
"192_168_4_5-2020-07-01_19-45-01","1023.0","340.0","578.0","105.0","21","5"
"192_168_4_5-2020-06-27_18-45-01","1147.0","471.0","508.0","168.0","25","3"
"192_168_4_5-2020-07-03_11-45-01","693.0","244.0","277.0","172.0","23","1"
"192_168_4_5-2020-06-28_10-45-01","933.0","301.0","345.0","287.0","21","5"
"192_168_4_5-2020-07-08_14-00-01","1010.0","406.0","465.0","139.0","25","1"
"192_168_4_5-2020-07-15_16-45-01","2809.0","1183.0","1365.0","261.0","27","13"
"192_168_4_5-2020-07-14_07-00-01","596.0","268.0","282.0","46.0","13","3"
"192_168_4_5-2020-06-29_10-00-01","274.0","113.0","121.0","40.0","13","1"
"192_168_4_5-2020-07-15_08-30-01","467.0","212.0","194.0","61.0","21","3"
"192_168_4_5-2020-07-04_11-00-01","839.0","331.0","345.0","163.0","23","1"
"192_168_4_5-2020-07-15_07-00-01","57.0","20.0","23.0","14.0","13","3"
"192_168_4_5-2020-07-06_07-00-01","354.0","145.0","182.0","27.0","13","3"
"192_168_4_5-2020-07-09_13-30-01","917.0","370.0","419.0","128.0","25","7"
"192_168_4_5-2020-07-07_19-15-01","4634.0","1755.0","2241.0","638.0","25","15"
"192_168_4_5-2020-06-22_21-30-01","0.0","0.0","0.0","0.0","13","1"
"192_168_4_5-2020-06-24_12-00-01","1011.0","424.0","488.0","99.0","23","1"
